family,algorithm,n,p,relative risk,relative test error gaussian,proportion of variance explained gaussian,relative test error,proportion of variance explained,beta error,relative beta error,relative prediction error,corr,time
gaussian,cpu_woodbury,20,20,0.6331128192915397,3.389170894207678,0.3412550179513007,3.389170894207678,0.3412550179513007,2.0867436513884057,1.3124582993360314,1.934662594358156,1.1382735577150627,0.8618485190497647,2.7263832092285156
gaussian,cpu_svd,20,20,0.6331128192915348,3.389170894207653,0.34125501795129654,3.389170894207653,0.34125501795129654,2.086743651388402,1.3124582993360223,1.9346625943581526,1.138273557715055,0.861848519049758,2.712179183959961
gaussian,cpu_rsvd,20,20,0.6331128192915352,3.389170894207655,0.3412550179512968,3.389170894207655,0.3412550179512968,2.086743651388402,1.312458299336023,1.9346625943581526,1.1382735577150556,0.8618485190497582,2.768207550048828
gaussian,glmnet_cv5,20,20,0.22360679774997896,1.3416407864998738,0.0,1.3416407864998738,0.0,1.0786085684779079,1.1530253781618383,1.0,1.0,0.8426692963031098,0.11449861526489258
gaussian,glmnet_cv10,20,20,0.22360679774997896,1.3416407864998738,0.0,1.3416407864998738,0.0,1.0786085684779079,1.1530253781618383,1.0,1.0,0.8426692963031098,0.20963692665100098
gaussian,sklearn_cv5,20,20,0.13707606567899405,0.9089871261449491,0.07210894339248743,0.9089871261449491,0.07210894339248743,0.9233961720292114,0.8435821225400818,0.8560994219916811,0.7316249395004009,0.8522168909022336,0.019260883331298828
gaussian,sklearn_cv10,20,20,0.13707606567899405,0.9089871261449491,0.07210894339248743,0.9089871261449491,0.07210894339248743,0.9233961720292114,0.8435821225400818,0.8560994219916811,0.7316249395004009,0.8522168909022336,0.03630328178405762
gaussian,gpu_woodbury,20,20,0.779411117004906,8.017717967799038,0.5052766538681156,8.017717967799038,0.5052766538681156,2.1834514520297623,1.4972594258572638,1.8399598592876412,1.3134152343997267,0.6183895610837634,2.8288328647613525
gaussian,gpu_svd,20,20,0.7794111170049125,8.017717967799106,0.5052766538681214,8.017717967799106,0.5052766538681214,2.1834514520297685,1.4972594258572571,1.8399598592876465,1.313415234399721,0.618389561083778,2.8220314979553223
gaussian,gpu_rsvd,20,20,0.7794111170049111,8.01771796779909,0.5052766538681202,8.01771796779909,0.5052766538681202,2.1834514520297668,1.4972594258572562,1.8399598592876447,1.31341523439972,0.6183895610837777,2.821096897125244
gaussian,cpu_woodbury,20,20,0.7794111170049132,8.017717967799111,0.505276653868122,8.017717967799111,0.505276653868122,2.183451452029769,1.49725942585726,1.8399598592876467,1.3134152343997236,0.6183895610837775,2.655085325241089
gaussian,cpu_svd,20,20,0.7794111170049112,8.01771796779909,0.5052766538681203,8.01771796779909,0.5052766538681203,2.1834514520297663,1.4972594258572562,1.8399598592876445,1.3134152343997203,0.6183895610837779,2.680297374725342
gaussian,cpu_rsvd,20,20,0.7794111170049113,8.017717967799092,0.5052766538681204,8.017717967799092,0.5052766538681204,2.1834514520297663,1.497259425857256,1.8399598592876445,1.3134152343997199,0.6183895610837784,2.6948695182800293
gaussian,glmnet_cv5,20,20,0.22360679774997896,2.4596747752497685,0.0,2.4596747752497685,0.0,1.1866842860773643,1.139974157937615,1.0,1.0,0.7578316648745032,0.1156771183013916
gaussian,glmnet_cv10,20,20,0.1580548918682877,1.804155716432856,0.05959264171062842,1.804155716432856,0.05959264171062842,1.0593459649491106,0.7792647185181378,0.892694019275189,0.6835810382999779,0.7344030779162127,0.21169424057006836
